"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Universidad de la Sabana | Universidad de la Sabana","Educación Continua","","Escuela Internacional de Ciencias Económicas y Administrativas Facultad de Comunicación Facultad de Estudi","Hyflex","8","133","","","","","","","","Explora nuestra oferta académica y encuentra la carrera perfecta para ti. ¡Inicia tu proceso de admisión y únete a una comunidad de líderes con impacto tangible!","","https://www.unisabana.edu.co/"
"Administración & Servicio","Pregrado","","Escuela Internacional de Ciencias Económicas y Administrativas","Presencial","9","162","20321000","5110","130000","104355","Profesional en Administración & Servicio","Alta Calidad mediante Resolución No. 016907 del 20 de septiembre de 2023","EFMD","La carrera de Administración & Servicio de la Universidad de La Sabana es única en el país y cuenta con acreditación de alta calidad, es pionera en la formación profesional de administradores líderes en servicio y hospitalidad que dominan la gestión empresarial y el diseño de experiencias con visión estratégica, humana y global.","administración y servicio, customer experience, gestión del servicio, hospitalidad y calidad, Unisabana,","https://www.unisabana.edu.co/programas/pregrados/administracion-y-servicio"
"Administración de Mercadeo y Logística Internacionales","Pregrado","","Escuela Internacional de Ciencias Económicas y Administrativas","Presencial","9","162","20321000","5110","130000","101896","Administrador de Mercadeo y Logística Internacionales","Alta Calidad mediante Resolución No. 024574 del 27 de diciembre de 2022, otorgada por el Ministerio de Educación Nacional","EFMD-","El objeto de estudio de la carrera de Administración de Mercadeo y Logística Internacionales de la Universidad de La Sabana es el conocimiento teórico-práctico de tres saberes específicos: la administración, el mercadeo y la logística en el contexto internacional, abordado con una visión multidisciplinaria, contrastada con la realidad.","administración de mercadeo, logística internacional, mercadeo, unisabana,","https://www.unisabana.edu.co/programas/pregrados/administracion-de-mercadeo-y-logistica-internacionales"
"Gastronomía","Pregrado","","Facultad Continúa tu formación Pregrados Relacionados Contacto Información sobre el progra","Presencial","9","162","20321000","5110","130000","53517","Gastrónomo","","","La carrera de Gastronomía de la Universidad de La Sabana forma profesionales en las áreas de gestión empresarial y emprendimiento (Food Business and Entrepreneurship), artes culinarias (Culinary Arts), estudios de la alimentación (Food Studies), ciencia y tecnología de alimentos (Food Science).","carrera de gastronomía, gestión gastronómica, artes culinarias, chef profesional, unisabana,","https://www.unisabana.edu.co/programas/pregrados/gastronomia"
"Economía y Finanzas Internacionales","Pregrado","","Facultad Continúa tu formación Pregrados Relacionados Contacto Información sobre el progra","Presencial","9","162","20321000","5110","130000","53516","Economista con énfasis en Finanzas Internacionales Renovación Registro Calificado según Resolución No","Acreditación mediante Resolución No","","La carrera de Economía y Finanzas Internacionales de la Universidad de La Sabana ofrece una formación integral en economía y finanzas, con una sólida base teórica, complementada con el uso de herramientas cuantitativas y tecnológicas, y una orientación práctica alineada con las necesidades del país y del contexto internacional.","economía, finanzas internacionales, carrera de economía, mercado de capitales, unisabana,","https://www.unisabana.edu.co/programas/pregrados/economia-y-finanzas-internacionales"
"Administración de Empresas","Pregrado","","Escuela Internacional de Ciencias Económicas y Administrativas","Presencial","9","162","20321000","5110","130000","1240","Administrador de Empresas","","EFMD-","La carrera de Administración de Empresas de la Universidad de La Sabana desarrolla el espíritu emprendedor en sus estudiantes, de manera que sean profesionales propositivos, innovadores, capaces de generar proyectos sostenibles y de contribuir al desarrollo del país a través de la generación de empleo y de riqueza, con sentido de responsabilidad social y vocación de servicio.","administración de empresas, emprendimiento, carrera de administración, liderazgo empresarial, innovación, unisabana","https://www.unisabana.edu.co/programas/pregrados/administracion-de-empresas"
"Administración de Negocios Internacionales","Pregrado","","ESCUELA INTERNACIONAL DE CIENCIAS ECONÓMICAS Y ADMINISTRATIVAS","Presencial","10","180","20321000","5110","130000","11123","","Acreditación mediante Resolución 017204 del 24 de octubre de 2018, otorgada por el Ministerio de Educación Nacional","EFMD","La carrera de Administración de Negocios Internacionales ofrece una visión global del entorno y aborda estrategias y procesos de internacionalización de las organizaciones. Además, se enfoca en aplicar conceptos, técnicas y procesos administrativos en negocios de cualquier tamaño que operan en un entorno global y competitivo.","administración, carrera en negocios internacionales, negocios internacionales, unisabana, comercio internacional, negocios, negociación, toma de decisiones, decisiones estratégicas,","https://www.unisabana.edu.co/programas/pregrados/administracion-de-negocios-internacionales"
"Economía y Finanzas Internacionales Virtual","Pregrado","","Relacionados Ver todas Pregrado","Virtual","8","153","14379000","3615","","116442","Economista con énfasis en Finanzas Internacionales","","","La carrera de Economía y Finanzas Internacionales en modalidad virtual de la Universidad de La Sabana forma profesionales integrales con sólidos conocimientos en teoría económica, economía aplicada, finanzas internacionales e instrumentos cuantitativos. El enfoque educativo prepara a los estudiantes para la formulación de estrategias empresariales efectivas y políticas de desarrollo nacionales e internacionales. Los graduados estarán capacitados en el uso de herramientas para evaluar contextos y desarrollar modelos con variables que impactan el entorno empresarial y económico.","economía virtual, centroamérica, carrera virtual, finanzas internacionales, programación, inteligencia artificial, green finance, fintech, inversiones, unisabana","https://www.unisabana.edu.co/programas/pregrados/economia-y-finanzas-internacionales-virtual"
"Doctorado en Administración de Organizaciones","Posgrado","Doctorado","Escuela Internacional de Ciencias Económicas y Administrativas Doctorado en","Presencial","6","90","150000","7021","","109157","Doctor en Administración de Organizaciones","","","El Doctorado en Administración de Organizaciones de la Universidad de La Sabana es un programa innovador y disruptivo, que destaca por su propuesta de valor basada en pilares fundamentales: un plan de estudios personalizado y flexible, una estancia internacional de investigación obligatoria, una sólida formación alineada con las megatendencias sociales y tecnológicas, un enfoque en investigación aplicada para resolver problemas organizacionales complejos y la posibilidad de realizar una cotutela internacional de tesis.","doctorado en administración, gestión organizacional, investigación aplicada, logística, unisabana","https://www.unisabana.edu.co/programas/posgrados/doctorado-en-administracion-de-organizaciones"
"Maestría en Gerencia de Negocios de la Hospitalidad","Posgrado","Maestría","","Virtual","3","49","25792000","","","116092","Magíster en Gerencia de Negocios de la Hospitalidad","","equisitos Se tiene en cuenta la formación académica y la trayectoria profesional del aspirante para identificar la relación de su perfil con el campo de la","La Maestría en Gerencia de Negocios de la Hospitalidad de la Universidad de La Sabana propone formar líderes que estratégicamente orienten la organización, centrados en servicio y negocios de la hospitalidad, en beneficio de la organización y la sociedad.","hospitality management, customer experience, gerencia de servicios, negocios de hospitalidad, unisabana","https://www.unisabana.edu.co/programas/posgrados/maestria-en-gerencia-de-negocios-de-la-hospitalidad"
"Maestría en Gerencia de Inversión","Posgrado","Maestría","Escuela Internacional de Ciencias Económicas y Administrativas Maestría en Gerencia de Inversión Maestría","Virtual","3","49","25792000","","","104619","Magíster en Gerencia de Inversión","","equisitos Se tiene en cuenta la formación académica y la trayectoria profesional del aspirante para identificar la relación de su perfil con el campo de la","La Maestría en Gerencia de Inversión de la Universidad de La Sabana prepara expertos en la gestión estratégica de inversiones, abarcando tanto el mercado bursátil como el ámbito corporativo-empresarial, para maximizar el impacto y el valor en diversos escenarios financieros.","gerencia de inversión, mercado bursátil, estrategia financiera, inversión corporativa, unisabana","https://www.unisabana.edu.co/programas/posgrados/maestria-en-gerencia-de-inversion"
"Maestría en Gerencia de la Innovación","Posgrado","Maestría","Escuela Internacional de Ciencias Económicas y Administrativas Maestría en Gerencia de la Innovación Maest","Presencial","3","49","25792000","","","109167","Magister en Gerencia de la Innovación","","equisitos Se tiene en cuenta la formación académica y la trayectoria profesional del aspirante para identificar la relación de su perfil con el campo de la","La Maestría en Gerencia de la Innovación de la Universidad de La Sabana forma líderes capaces de impulsar soluciones creativas y aprovechar oportunidades estratégicas en las organizaciones. Con un enfoque en la creación de valor, competitividad y sostenibilidad, este programa integra ética, responsabilidad, visión global y pensamiento crítico, preparando profesionales para enfrentar los retos del entorno dinámico actual.","gerencia de la innovación, soluciones creativas, creatividad, estrategias innovadoras, unisabana","https://www.unisabana.edu.co/programas/posgrados/maestria-en-gerencia-de-la-innovacion"
"Maestría en Gerencia de Operaciones","Posgrado","Maestría","Escuela Internacional de Ciencias Económicas y Administrativas Maestría en Gerencia de Operaciones Maestrí","Virtual","3","49","25792000","","","90554","Magíster en Gerencia de Operaciones","","equisitos En el proceso de selección se tiene en cuenta la formación profesional y la trayectoria académica del aspirante para establecer la cercanía que h","La Maestría en Gerencia de Operaciones de la Universidad de La Sabana es un programa de alto nivel académico, que busca consolidar los procesos de formación integral, de profesionales relacionados o con interés en gerencia las operaciones de las organizaciones.","gerencia de operaciones, optimización, cadena de suministro, liderazgo estratégico, toma de decisiones, unisabana","https://www.unisabana.edu.co/programas/posgrados/maestria-en-gerencia-de-operaciones"
"Maestría en Gerencia Internacional","Posgrado","Maestría","Escuela Internacional de Ciencias Económicas y Administrativas Maestría en Gerencia Internacional Maestría","Presencial","3","49","25792000","","","105479","Magíster en Gerencia Internacional","","equisitos Se tiene en cuenta la formación académica y la trayectoria profesional del aspirante para identificar la relación de su perfil con el campo de lo","La Maestría en Gerencia Internacional forma líderes con visión estratégica global para el fortalecimiento y crecimiento de las empresas nacionales y/o internacionales. El programa desarrolla competencias para gestionar áreas claves y dirigirlas hacia escenarios de alto desempeño y creación de valor.","marketing, negocios internacionales, management, estrategia global, internacionalización, unisabana","https://www.unisabana.edu.co/programas/posgrados/maestria-en-gerencia-internacional"
"Maestría en Gerencia Estratégica","Posgrado","Maestría","Escuela Internacional de Ciencias Económicas y Administrativas Maestría en Gerencia Estratégica Maestría e","Virtual","3","49","25792000","","","104826","Magíster en Gerencia Estratégica","","equisitos Se tiene en cuenta la formación académica y la trayectoria profesional del aspirante para identificar la relación de su perfil con el campo de la","La Maestría en Gerencia Estratégica de la Universidad de La Sabana te prepara para abordar la toma de decisiones a nivel corporativo, competitivo y funcional, centrado en la creación de valor y la sostenibilidad organizacional. Su enfoque en Strategic Management, te permite enfrentar los retos de las organizaciones modernas y mejorar su competitividad en mercados altamente exigentes. Esta combinación única de conocimientos te posiciona a la vanguardia de la gerencia estratégica, brindándote las herramientas necesarias para transformar y liderar en cualquier ámbito empresarial.","estrategia organizacional, management, liderazgo empresarial, unisabana","https://www.unisabana.edu.co/programas/posgrados/maestria-en-gerencia-estrategica"
"Minor en Sostenibilidad y Economía Circular","Minor","","Escuela Internacional de Ciencias Económicas y Administrativas ha creado para sus estudiantes, permitiéndo","Virtual","","12","","3814","130000","","","","","El Minor en Sostenibilidad y Economía Circular es la nueva opción de grado que la Escuela Internacional de Ciencias Económicas y Administrativas ha creado para sus estudiantes, permitiéndoles profundizar en un tema de interés y relevancia actual.","","https://www.unisabana.edu.co/programas/unidades-academicas/escuela-internacional-de-ciencias-economicas-y-administrativas/minor-sostenibilidad-y-economia-circular"
"Minor Omnichannel Marketing","Minor","","Escuela Internacional de Ciencias Económicas y Administrativas ha creado para sus estudiantes, permitiéndo","Virtual","","12","","3814","130000","","","","","El Minor en Omnichannel Marketing es la nueva opción de grado que la Escuela Internacional de Ciencias Económicas y Administrativas ha creado para sus estudiantes, permitiéndoles profundizar en un tema de interés y relevancia actual.","","https://www.unisabana.edu.co/programas/unidades-academicas/escuela-internacional-de-ciencias-economicas-y-administrativas/minor-omnichannel-marketing"
"Minor en Emprendimiento Digital","Minor","","Facultad Oferta Académica Cifras Nuestras Instalaciones Nuestro Equipo Enlaces de interés","Virtual","","12","","3814","130000","","","","","El Minor en Emprendimiento Digital es un programa flexible que le permite a los estudiantes, graduados y personas externas orientar en su sueño por emprender. Al final de la ruta, a cada participante se le otorgará un certificado que complementa su título profesional.","","https://www.unisabana.edu.co/programas/unidades-academicas/escuela-internacional-de-ciencias-economicas-y-administrativas/minor-en-emprendimiento-digital"
"Minor en Fintech","Minor","","Escuela Internacional de Ciencias Económicas y Administrativas ha creado para sus estudiantes, graduados y","Virtual","","12","","3814","130000","","","","","El Minor en Fintech hace parte de las opciones de grado y opciones de aprendizaje para toda la vida que la Escuela Internacional de Ciencias Económicas y Administrativas ha creado para sus estudiantes, graduados y personas externas permitiéndoles profundizar en un tema de interés y de relevancia actual.","","https://www.unisabana.edu.co/programas/unidades-academicas/escuela-internacional-de-ciencias-economicas-y-administrativas/minor-en-fintech"
"Minor en Marketing Analytics","Minor","","Escuela Internacional de Ciencias Económicas y Administrativas ha creado para sus estudiantes, permitiéndo","Presencial","","12","","","","","","","","El Minor en Marketing Analytics es la nueva opción de grado que la Escuela Internacional de Ciencias Económicas y Administrativas ha creado para sus estudiantes, permitiéndoles profundizar en un tema de interés y relevancia actual.","","https://www.unisabana.edu.co/programas/unidades-academicas/escuela-internacional-de-ciencias-economicas-y-administrativas/minor-marketing-analytics"
"Minor en Trading","Minor","","Facultad Oferta Académica Cifras Nuestras Instalaciones Nuestro Equipo Enlaces de interés","Virtual","","12","","3814","130000","","","","","Este minor ofrece a los estudiantes una formación integral en mercados financieros, inversiones y manejo de herramientas tecnológicas líderes en la industria financiera como Bloomberg y LSEG-Refinitiv. Adicionalmente, el programa incluye un certificado profesional como Master Trader otorgado por la Bolsa de Valores de Colombia (BVC).","","https://www.unisabana.edu.co/programas/minor/minor-en-trading"
"Master in Public Administration (MPA)","Posgrado","","Facultad de Estudios Jurídicos, Políticos e Internacionales es reconocido por su calidad acad","Virtual","3","36","","","","117543","Magíster en Administración Pública","","equisito real del siguiente","La Maestría en Administración Pública es el escenario que contribuye a materializar los objetivos de la Escuela de Gobierno. Es el programa que forma al estratega y gerente de lo público.","","https://www.unisabana.edu.co/programas/posgrados/master-public-administration-mpa"
"Carrera de Comunicación Corporativa","Pregrado","","Facultad de","Presencial","8","144","130000","43","130000","107281","","","equisitos)","El programa de Comunicación Corporativa forma líderes estratégicos en reputación, comunicación de marketing, cambio organizacional y asuntos públicos. ¡Ingresa!","Marketing, estrategia empresarial, relaciones públicas, publicidad, comunicación, organización de eventos, redes sociales, colombia","https://www.unisabana.edu.co/programas/pregrados/comunicacion-corporativa"
"Comunicación Audiovisual y Multimedios","Pregrado","","relacionados Ver todas Pregrado Carrera de","Presencial","8","144","18184000","35","130000","52349","","","","La carrera de Comunicación Audiovisual y Multimedios de la Universidad de La Sabana forma profesionales en creación audiovisual e interactiva. ¡Ingresa ahora!","Comunicación audiovisual, multimedios, cine, medios audiovisuales, dirección, videojuegos, Colombia","https://www.unisabana.edu.co/programas/pregrados/comunicacion-audiovisual-y-multimedios"
"Comunicación Social y Periodismo","Pregrado","","Relacionados CONTACTO Información sobre el programa ¡Descubre el apasionante mundo de la","Presencial","8","144","130000","","130000","1237","","Acreditación mediante Resolución 4000 del 18 de abril de 2012, por seis años, otorgada por el Ministerio de Educación Nacional","","Domina el periodismo, la comunicación digital y las narrativas multiformato con una mirada ética, innovadora y potenciada por la inteligencia artificial. ¡Ingresa!","Comunicación social, periodismo, mejor universidad, periodismo de datos, redes sociales, unisabana","https://www.unisabana.edu.co/programas/pregrados/comunicacion-social-y-periodismo"
"Especialización en Gerencia de la Comunicación Organizacional","Posgrado","Especialización","Facultad de","Presencial","2","24","14113000","","","2769","","","","Con más de 30 años de experiencia, la especialización ofrece una formación innovadora y dinámica para gestionar la comunicación organizacional como un proceso continuo.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-de-la-comunicacion-organizacional"
"Doctorado en Comunicación","Posgrado","Doctorado","Facultad de","Presencial","8","120","18987000","","","106499","","","equisitos para graduarse por tesis doctoral son: Haber cursado y aprobado todas las materias del plan de estudios","El Doctorado en Comunicación de la Universidad de La Sabana tiene entre sus propósitos generar habilidades investigativas y de generación de nuevo conocimiento.","","https://www.unisabana.edu.co/programas/posgrados/doctorado-en-comunicacion"
"Maestría en Comunicación Estratégica","Posgrado","Maestría","Facultad de","Presencial","3","36","14113000","","","101864","","","","El programa profundiza en el rol de la comunicación estratégica dentro de las organizaciones, analizando su impacto en individuos, grupos y sistemas sociales más amplios.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-comunicacion-estrategica"
"Especialización en Creación y Gestión Fotográfica Multiplataforma","Posgrado","Especialización","Facultad de","Presencial","2","24","14113000","","","116787","","","","La especialización busca formar profesionales con habilidades prácticas para trabajar en medios y proyectos digitales, potenciando la relación entre lo creativo y lo conceptual.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-creacion-y-gestion-fotografica-multiplataforma"
"Maestría en Comunicación Política","Posgrado","Maestría","Facultad de","Presencial","3","36","14113000","","","117045","","","","La Maestría en Comunicación Política te prepara para navegar el complejo mundo actual. En un entorno digital, donde los medios de comunicación se redefinen constantemente.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-comunicacion-politica"
"Maestría en Periodismo y Comunicación Digital","Posgrado","Maestría","Facultad de","Presencial","3","36","14113000","","","102029","","","","La Maestría en Periodismo y Comunicación Digital te prepara para articular las áreas clave de la industria: producto, tecnología, negocios y organización.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-periodismo-y-comunicacion-digital"
"Especialización en Diseño y Desarrollo de Videojuegos","Posgrado","Especialización","Facultad de","Presencial","2","24","14113000","","","117067","","","","La especialización te brinda las herramientas para crear, producir y comercializar contenidos interactivos. Aprende desde el diseño y la programación hasta la publicación.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-dise%C3%B1o-y-desarrollo-de-videojuegos"
"Maestría en Innovación en Industrias Audiovisuales","Posgrado","Maestría","Facultad de","Presencial","3","36","14113000","","","117080","","","","Revoluciona las industrias audiovisuales con una maestría que combina creatividad, innovación y estrategia para liderar el futuro del cine, la TV y los medios digitales.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-innovacion-en-industrias-audiovisuales"
"Diplomado en Producción de Videos Musicales","Educación Continua","Diplomado","FACULTAD DE","Híbrido","","","","","","","","","","El diplomado ""Producción de Videos Musicales"" busca desarrollar habilidades prácticas y conceptuales en la producción de videos musicales. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-produccion-de-videos-musicales"
"Diplomado en Comunicación y Marketing de Moda","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3767000","","","","","","","Este programa busca capacitar a los estudiantes en la comunicación y marketing de moda a partir de conocimientos actualizados en torno a una visión global de la industria.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-comunicacion-y-marketing-de-moda"
"Diplomado en Estrategias de IA en Marketing Digital","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3767000","","","","","","","Representa una oportunidad única para aquellos que buscan destacarse en el ámbito del marketing digital mediante la aplicación estratégica de la inteligencia artificial.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-estrategias-de-ia-en-marketing-digital"
"Diplomado Showrunner","Educación Continua","Diplomado","Facultad de","Híbrido","","","3767000","","","","","","","Este programa busca que los estudiantes comprendan a profundidad el rol del showrunner en la creación de una serie de televisión. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-showrunner"
"Diplomado en Neurociencias en la comunicación y el marketing","Educación Continua","Diplomado","Facultad de","Híbrido","","","3767000","","","","","","","Está diseñado para capacitar en la aplicación de técnicas de neurociencia al ámbito comunicativo y de marketing. ¡Ingresa y consulta más detalles aquí!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-neurociencias-en-la-comunicacion-y-el-marketing"
"Diplomado en Marketing Experiencial","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3767000","","","","","","","El Diplomado en Marketing Experiencial busca entender el Marketing experiencial y el Storydoing como una herramienta que capacita a marcas. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-marketing-experiencial"
"Curso en fotografía comercial: imágenes que venden","Educación Continua","Curso","FACULTAD DE","Híbrido","","","1600000","","","","","","","Adquiere conocimientos en conceptos, estéticas y técnicas aplicadas a la fotografía comercial. El programa abarca temas como la composición del espacio.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-en-fotografia-comercial-imagenes-que-venden"
"Diplomado en Creación de Contenidos Deportivos","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","5000000","","","","","","","Por primera vez la Facultad de Comunicación más importante del país y Win Sports, el medio de comunicación deportivo No. 1 de Colombia, se unen para lanzar un programa académico.","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-comunicacion/educacion-continua/comunicacion/diplomado-en-creacion-de-contenidos-deportivos"
"Diplomado en Content Marketing y Estrategia Digital Aplicada","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3200000","","","","","","","Este programa busca capacitar a los estudiantes en la comunicación y marketing de moda a partir de conocimientos actualizados en torno a una visión global de la industria.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-content-marketing-y-estrategia-digital-aplicada"
"Diplomado en Branding y Marketing Turístico","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3200000","","","","","","","Este programa busca capacitar a los estudiantes en la comunicación y marketing de moda a partir de conocimientos actualizados en torno a una visión global de la industria.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-branding-y-marketing-turistico"
"Diplomado en Comunicación y Marketing de Moda | Universidad de La Sabana","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3767000","","","","","","","Este programa busca capacitar a los estudiantes en la comunicación y marketing de moda a partir de conocimientos actualizados en torno a una visión global de la industria.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-comunicacion-y-marketing-predictivo-con-Inteligencia-Artificial"
"Diplomado en Marketing Inteligente, Comunicación y Ventas","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","","","","","","","","Este programa busca capacitar a los estudiantes en la comunicación y marketing de moda a partir de conocimientos actualizados en torno a una visión global de la industria.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-marketing-inteligente-comunicacion-y-ventas"
"Diplomado en Comunicación y Marketing de Moda | Universidad de La Sabana","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3200000","","","","","","","Este programa busca capacitar a los estudiantes en la comunicación y marketing de moda a partir de conocimientos actualizados en torno a una visión global de la industria.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-sports-content-lab"
"Diplomado en Diseño y Creación de Marcas de Moda","Educación Continua","Diplomado","Facultad de","Virtual","","","3767000","","","","","","","Está diseñado para proporcionar herramientas para la comprensión del negocio de la moda y para el desarrollo óptimo de estrategias de creación. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-dise%C3%B1o-y-creacion-de-marcas-de-moda"
"Branding y Monetización de Audiencias","Educación Continua","","Facultad de","Virtual","","","3200000","","","","","","","El Diplomado en Branding y Monetización de Audiencias, ofrecido desde el año 2017, se ha encargado de formar a más de 10 cohortes de estudiantes en los fundamentos y conocimientos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-branding-y-monetizacion-de-audiencias"
"Minor en Diseño y Creatividad","Minor","","","Presencial","","12","","3814","130000","","","","equisito indispensable en sectores como: el periodismo, la creación de contenido, el marketing, la tecnología, la comunicación y la gestión de datos","En un mundo cada vez más visual y digital, las organizaciones demandan profesionales capaces de comunicar ideas de manera innovadora y efectiva.","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-comunicacion/minor-en-diseno-y-creatividad"
"Minor en Gestión Comunicacional en Marketing","Minor","","","Presencial","","12","","3814","130000","","","","","El Minor en Gestión Comunicacional en Marketing está diseñado para formar profesionales con una comprensión integral de las herramientas y estrategias que demandan las empresas.","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-comunicacion/minor-en-gestion-comunicacional-en-marketing"
"Minor en Creación de Videojuegos","Minor","","Facultad de Ingeniería): 2 créditos","Presencial","","12","","3814","130000","","","","","Este minor ofrece una experiencia práctica para diseñar y desarrollar videojuegos, abordando cada etapa de un proyecto desde la concepción hasta su implementación.","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-comunicacion/minor-en-creacion-de-videojuegos"
"Minor en Formatos Emergentes para la Comunicación Digital","Minor","","Facultad de Ingeniería): 2 créditos","Presencial","","12","","3814","130000","","","","","Este minor fortalece tu perfil profesional con herramientas innovadoras y creativas que responden a los desafíos actuales de la comunicación digital.","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-comunicacion/Minor-en-Formatos-Emergentes-para-la-comunicacion-digital"
"Ciencias Políticas","Pregrado","","Facultad de Estudios Jurídicos, Políticos e Internacionales Ciencias Políticas Ciencias Polít","Virtual","8","133","17326000","4605","130000","101640","Politólogo","","equisito principal para acceder a cualquier programa de movilidad será el buen desempeño académico y disciplinar","La carrera de Ciencias Políticas de la Universidad de La Sabana te ofrece una formación integral que combina teoría y práctica para convertirte en un líder transformador.","","https://www.unisabana.edu.co/programas/pregrados/ciencias-politicas"
"Derecho","Pregrado","","Facultad de Estudios Jurídicos, Políticos e Internacionales Derecho Derecho La carrera de Der","Presencial","8","1","19272000","6028","130000","1239","Abogado","Alta Calidad mediante Resolución No. 16769 del 25 de agosto de 2017","equisitos para homologar tu trabajo de grado del programa de Derecho","La carrera de Derecho de la Universidad de La Sabana ofrece una formación integral con sólida fundamentación jurídica teórica y práctica. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/pregrados/derecho"
"Relaciones Internacionales","Pregrado","","Facultad de Estudios Jurídicos, Políticos e Internacionales Relaciones Internacionales Relaci","Virtual","8","133","18178000","32","130000","117902","Internacionalista","","","En el programa de Relaciones Internacionales de la Universidad de La Sabana te formarás para comprender y transformar el mundo. ¡Conoce más aquí!","","https://www.unisabana.edu.co/programas/pregrados/relaciones-internacionales"
"Maestría en Contratación Estatal","Posgrado","Maestría","Facultad de Estudios Jurídicos, Políticos e Internacionales Maestría en Contratación Estatal","Presencial","4","48","","","","107280","Magíster en Contratación Estatal","","","El programa de Maestría en Contratación Estatal de la Facultad de Estudios Jurídicos, Políticos e Internacionales otorgará el título de Magíster en Contratación Estatal.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-contratacion-estatal"
"Especialización en Gobernanza Administración Pública y Territorio","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Gobernanza,","Presencial","2","22","","","","1164471","Especialista en Gobernanza, Administración Pública y Territorio","","","La Especialización en Gobernanza, Administración Pública y Territorio tiene como objetivo formar especialistas con una visión interdisciplinaria. ¡Ingresa!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gobernanza-administracion-publica-y-territorio"
"Especialización de Derechos Humanos Derecho Internacional Humanitario y Justicia Transicional","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Derechos Human","Virtual","2","24","","","","116443","Especialista en Derechos Humanos, Derecho Internacional Humanitario y Justicia Transicional","","","La Especialización en Derechos Humanos, Derecho Internacional Humanitario y Justicia Transicional busca formar especialistas interdisciplinarios. ¡Entra!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-de-derechos-humanos-derecho-internacional-humanitario-y-justicia-transicional"
"Maestría en Derecho Constitucional","Posgrado","Maestría","Facultad de Estudios Jurídicos, Políticos e Internacionales Maestría en Derecho Constituciona","Presencial","3","36","","","","90669","Magíster en Derecho Constitucional Modalidad: hibrída (presencial-virtual)* Algunas sesiones o módulos con profesores in","","","La Maestría en Derecho Constitucional es un programa de élite que se enfoca en el desarrollo de competencias necesarias para resolver problemas jurídicos complejos.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-derecho-constitucional"
"Maestría en Derecho de la Empresa y de los Negocios","Posgrado","Maestría","Facultad de Estudios Jurídicos, Políticos e Internacionales Maestría en Derecho de la Empresa","Presencial","3","36","","","","102123","Magíster en Derecho de la Empresa y de los Negocios","","","La Maestría en Derecho de la Empresa y de los Negocios busca responder a las necesidades, estado actual y proyecciones de desarrollo de la economía nacional.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-derecho-de-la-empresa-y-de-los-negocios"
