"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Diplomado en Gerencia Comercial Aumentada: IA, Neurociencias y Ventas Inteligentes","Educación Continua","Diplomado","Diplomado en","Hyflex","","","3866000","","","","","","","En el mundo organizacional actual, los cambios disruptivos generan una dinámica transformacional nunca antes vista.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-gerencia-comercial-aumentada-ia-neurociencias-y-ventas-inteligentes"
"Diplomado Finanzas para no financieros | Universidad de La Sabana","Educación Continua","Curso","Diplomado en","Presencial","","","2975000","","","","","","","Las finanzas en la actualidad hacen parte de nuestra vida, en gran medida son la base para la toma de decisiones y hacen parte fundamental de la estrategia.","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-ia-para-lideres-la-guia-de-los-c-levels-para-la-transformacion-del-negocio"
"Maestría en Asesoría Familiar y Gestión de Programas para la Familia Virtual","Posgrado","Maestría","Instituto Latinoamericano de la Familia - ILFARUS","Virtual","3","36","10309000","2730","","102252","Magíster en Asesoría Familiar y Gestión de Programas para la Familia","","equisitos de postulación : Ser egresado titulado de un programa universitario y contar con experiencia laboral a fin al programa de postulación","Esta Maestría busca formar profesionales que aporten a la transformación de las personas, las familias y la sociedad a través de un modelo propio de asesoría.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-asesoria-familiar-y-gestion-de-programas-para-la-familia-virtual"
"Maestría en Negociación Conciliación y Mediación de Conflictos de Familia Virtual","Posgrado","Maestría","Facultad de Estudios Jurídicos, Políticos e Internacionales Maestría en Negociación, Concilia","Virtual","3","36","10590000","2805","","116449","Magíster en Negociación, Conciliación y Mediación de Conflictos de Familia","","equisito de admisión, será altamente valorada dentro del proceso de selección","La Maestría en Negociación, Conciliación y Mediación de Conflictos de Familia de la Universidad de La Sabana tiene como objetivo formar profesionales.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-negociacion-conciliacion-y-mediacion-de-conflictos-de-familia-virtual"
"Certificación en Coaching de Equipos para la Familia","Educación Continua","","Instituto Latinoamericano de La Familia, ILFARUS, Integrando Excelencia, y el Instituto Int","Híbrido","","","8970000","","","","","","","Inscríbete y fórmate como Coach de Equipos para la Familia, adquiriendo las habilidades necesarias para intervenir profesionalmente.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-certificacion-en-coaching-de-equipos-para-la-familia"
"Diplomado en Derecho de Familia: Perspectivas Comparadas y Actualización Normativa","Educación Continua","Diplomado","Instituto Latinoamericano de la Familia, ILFARUS","Virtual","","","2300000","","","","","","","Fortalece tu ejercicio profesional con una formación actualizada en Derecho de Familia. Este diplomado te brinda una visión práctica y comparada de la normativa nacional e internacional.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-derecho-de-familia-perspectivas-comparadas-y-actualizacion-normativa"
"Diplomado en Implicaciones y manejo del consumo de pornografía en contextos escolares y familiares","Educación Continua","Diplomado","Instituto Latinoamericano de la Familia, ILFARUS","Virtual","","","2300000","","2300000","","","","","Analiza el impacto actual del consumo de pornografía en niños, adolescentes, y adultos jóvenes, a fin de determinar su efecto en el desarrollo afectivo sexual.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-implicaciones-y-manejo-del-consumo-de-pornografia-en-contextos-escolares-y-familiares"
"Diplomado en Prevención de la Violencia Intrafamiliar y de Género","Educación Continua","Diplomado","Instituto Latinoamericano de la Familia, ILFARUS","Virtual","","","2300000","","2300000","","","","","Aprende a prevenir la violencia intrafamiliar y de género mediante herramientas prácticas, un enfoque interdisciplinario.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-prevencion-de-la-violencia-intrafamiliar-y-de-genero"
"Diplomado en Content marketing y estrategia digital Virtual","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2685000","","","","","","","¡Bienvenidos al Diplomado Online en Content Marketing y Estrategia Digital! Este programa ha sido diseñado para proporcionar a los participantes las habilidades y conocimientos necesarios para sobresalir en el competitivo mundo del marketing digital.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-online-en-content-marketing-y-estrategia-digital-virtual"
"Curso en Manipulación de alimentos","Educación Continua","Curso","Diplomado en","Virtual","","","","","","","","","","El curso manipulación de alimentos, tiene como propósito desarrollar en el participante todos los conceptos básicos del correcto manejo sanitario de los alimentos para entregar al cliente.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-en-manipulacion-de-alimentos"
